cd_id,cd_cliente,cd_unidade,cd_id_talhao,cd_fazenda,cd_zona,cd_talhao,desc_operac,processo_macro,data_operacao,DAP,semana_ano,id_safra,geohash_macro,geohash_regional,geohash_sub_regional,geohash_local
615401000024,24,1,1355205673000024,2001,1,201,T. Culturais - Controle de Doença - Soja,fungicida,2025-01-03,77,1,618,6,6uge,6uge3,6uge3u
615403000024,24,1,1355205673000024,2001,1,201,TC Aplicação Dessecação da Cultura - Soja,herbicida,2025-01-23,97,4,618,6,6uge,6uge3,6uge3u
573788000013,13,3,50221268000013,3,46,17,PLANTIO DE SOJA SEM ADUBO,outros,2023-10-01,0,39,619,6,6v85,6v851,6v851n
42224560000024,24,1,1355205673000024,2001,1,201,Plantio Mecanizado - Soja,plantio,2025-10-10,0,41,619,6,6uge,6uge3,6uge3u
615395000024,24,1,1355205673000024,2001,1,201,T. Culturais - Dessecação Pré-Plantio - Soja,herbicida,2025-10-22,12,43,619,6,6uge,6uge3,6uge3u
615395000024,24,1,1355205673000024,2001,1,201,T. Culturais - Dessecação Pré-Plantio - Soja,herbicida,2025-11-02,23,44,619,6,6uge,6uge3,6uge3u
615400000024,24,1,1355205673000024,2001,1,201,T. Culturais - Controle de Outras Pragas - Soja,inseticida,2025-11-02,23,44,619,6,6uge,6uge3,6uge3u
615401000024,24,1,1355205673000024,2001,1,201,T. Culturais - Controle de Doença - Soja,fungicida,2025-11-12,33,46,619,6,6uge,6uge3,6uge3u
615401000024,24,1,1355205673000024,2001,1,201,T. Culturais - Controle de Doença - Soja,fungicida,2025-12-10,61,50,619,6,6uge,6uge3,6uge3u
615401000024,24,1,1355205673000024,2001,1,201,T. Culturais - Controle de Doença - Soja,fungicida,2025-12-23,74,52,619,6,6uge,6uge3,6uge3u
615397000024,24,1,1355205673000024,2001,1,201,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2026-01-04,86,1,619,6,6uge,6uge3,6uge3u
615401000024,24,1,1355205673000024,2001,1,201,T. Culturais - Controle de Doença - Soja,fungicida,2026-01-15,97,3,619,6,6uge,6uge3,6uge3u
615403000024,24,1,1355205673000024,2001,1,201,TC Aplicação Dessecação da Cultura - Soja,herbicida,2026-02-13,126,7,619,6,6uge,6uge3,6uge3u
573788000013,13,3,50221269000013,3,46,18,PLANTIO DE SOJA SEM ADUBO,outros,2023-10-01,0,39,620,6,6v85,6v851,6v851m
42224560000024,24,1,1355205674000024,2001,1,203,Plantio Mecanizado - Soja,plantio,2023-10-27,0,43,620,6,6uge,6uge3,6uge3x
615397000024,24,1,1355205674000024,2001,1,203,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2023-11-23,27,47,620,6,6uge,6uge3,6uge3x
615397000024,24,1,1355205674000024,2001,1,203,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2023-12-01,35,48,620,6,6uge,6uge3,6uge3x
